,Month,Year,Vehicle Category,Bidding Type,Quota,Successful Bids,Received Bids,Quota Premium,PQP,PQP 2024,Price in 2024
0,1,2014,Cat A,1,364.0,361.0,623.0,72369.0,76109,77555.071,73744.011
1,1,2014,Cat A,2,368.0,364.0,724.0,72290.0,76109,77555.071,73663.51
2,1,2014,Cat B,1,386.0,377.0,581.0,78700.0,82333,83897.32699999999,80195.29999999999
3,1,2014,Cat B,2,393.0,388.0,512.0,79000.0,82333,83897.32699999999,80500.99999999999
4,1,2014,Cat C,1,258.0,252.0,337.0,48889.0,58989,60109.791,49817.890999999996
5,1,2014,Cat C,2,264.0,249.0,356.0,50001.0,58989,60109.791,50951.01899999999
6,1,2014,Cat D,1,489.0,487.0,542.0,1989.0,1797,1831.1429999999998,2026.7909999999997
7,1,2014,Cat D,2,503.0,503.0,796.0,2704.0,1797,1831.1429999999998,2755.3759999999997
8,1,2014,Cat E,1,261.0,244.0,392.0,79000.0,0,0.0,80500.99999999999
9,1,2014,Cat E,2,261.0,259.0,373.0,78810.0,0,0.0,80307.39
10,2,2014,Cat A,1,362.0,356.0,719.0,71564.0,73237,74628.503,72923.716
11,2,2014,Cat A,2,362.0,358.0,700.0,77201.0,73237,74628.503,78667.81899999999
12,2,2014,Cat B,1,360.0,360.0,523.0,75300.0,78382,79871.25799999999,76730.7
13,2,2014,Cat B,2,355.0,353.0,519.0,78604.0,78382,79871.25799999999,80097.476
14,2,2014,Cat C,1,267.0,264.0,364.0,51002.0,51418,52394.941999999995,51971.03799999999
15,2,2014,Cat C,2,277.0,273.0,392.0,52890.0,51418,52394.941999999995,53894.909999999996
16,2,2014,Cat D,1,361.0,353.0,550.0,3051.0,1952,1989.0879999999997,3108.9689999999996
17,2,2014,Cat D,2,360.0,359.0,478.0,3501.0,1952,1989.0879999999997,3567.519
18,2,2014,Cat E,1,208.0,205.0,351.0,77003.0,0,0.0,78466.05699999999
19,2,2014,Cat E,2,193.0,191.0,321.0,79000.0,0,0.0,80500.99999999999
20,3,2014,Cat A,1,365.0,356.0,615.0,76999.0,73431,74826.189,78461.981
21,3,2014,Cat A,2,362.0,360.0,577.0,78602.0,73431,74826.189,80095.438
22,3,2014,Cat B,1,350.0,337.0,499.0,80710.0,76719,78176.661,82243.48999999999
23,3,2014,Cat B,2,353.0,352.0,524.0,82900.0,76719,78176.661,84475.09999999999
24,3,2014,Cat C,1,265.0,262.0,439.0,56302.0,50316,51272.00399999999,57371.738
25,3,2014,Cat C,2,266.0,256.0,356.0,53891.0,50316,51272.00399999999,54914.929
26,3,2014,Cat D,1,368.0,340.0,483.0,4001.0,2474,2521.006,4077.019
27,3,2014,Cat D,2,360.0,355.0,449.0,4289.0,2474,2521.006,4370.491
28,3,2014,Cat E,1,193.0,185.0,292.0,82000.0,0,0.0,83557.99999999999
29,3,2014,Cat E,2,193.0,192.0,293.0,84001.0,0,0.0,85597.01899999999
30,4,2014,Cat A,1,367.0,360.0,537.0,77400.0,74848,76270.112,78870.59999999999
31,4,2014,Cat A,2,361.0,357.0,513.0,71335.0,74838,76259.92199999999,72690.36499999999
32,4,2014,Cat B,1,363.0,363.0,523.0,84504.0,79203,80707.85699999999,86109.57599999999
33,4,2014,Cat B,2,351.0,349.0,486.0,75010.0,79203,80707.85699999999,76435.18999999999
34,4,2014,Cat C,1,265.0,261.0,303.0,49503.0,52163,53154.096999999994,50443.55699999999
35,4,2014,Cat C,2,272.0,266.0,392.0,32890.0,52163,53154.096999999994,33514.909999999996
36,4,2014,Cat D,1,388.0,388.0,520.0,4489.0,3256,3317.8639999999996,4574.290999999999
37,4,2014,Cat D,2,365.0,350.0,492.0,4502.0,3256,3317.8639999999996,4587.538
38,4,2014,Cat E,1,199.0,197.0,283.0,84100.0,0,0.0,85697.9
39,4,2014,Cat E,2,192.0,192.0,310.0,73810.0,0,0.0,75212.39
40,5,2014,Cat A,1,513.0,512.0,676.0,60002.0,75517,76951.82299999999,61142.03799999999
41,5,2014,Cat A,2,509.0,506.0,997.0,65689.0,75517,76951.82299999999,66937.091
42,5,2014,Cat B,1,483.0,472.0,778.0,70002.0,79505,81015.59499999999,71332.038
43,5,2014,Cat B,2,484.0,477.0,716.0,68103.0,79505,81015.59499999999,69396.957
44,5,2014,Cat C,1,389.0,389.0,715.0,36301.0,49413,50351.846999999994,36990.719
45,5,2014,Cat C,2,392.0,386.0,709.0,40889.0,49413,50351.846999999994,41665.890999999996
46,5,2014,Cat D,1,343.0,340.0,445.0,4001.0,3973,4048.4869999999996,4077.019
47,5,2014,Cat D,2,358.0,316.0,492.0,4003.0,3973,4048.4869999999996,4079.057
48,5,2014,Cat E,1,295.0,295.0,525.0,65501.0,0,0.0,66745.519
49,5,2014,Cat E,2,294.0,285.0,497.0,67290.0,0,0.0,68568.51
50,6,2014,Cat A,1,507.0,499.0,1040.0,63190.0,71672,73033.768,64390.60999999999
51,6,2014,Cat A,2,509.0,506.0,1040.0,61889.0,71672,73033.768,63064.890999999996
52,6,2014,Cat B,1,494.0,484.0,807.0,67304.0,76872,78332.568,68582.776
53,6,2014,Cat B,2,490.0,475.0,716.0,65700.0,76872,78332.568,66948.29999999999
54,6,2014,Cat C,1,385.0,378.0,617.0,43001.0,44963,45817.297,43818.01899999999
55,6,2014,Cat C,2,391.0,385.0,597.0,42001.0,44963,45817.297,42799.01899999999
56,6,2014,Cat D,1,346.0,346.0,449.0,4089.0,4215,4295.085,4166.691
57,6,2014,Cat D,2,385.0,381.0,503.0,3890.0,4215,4295.085,3963.91
58,6,2014,Cat E,1,293.0,292.0,465.0,67334.0,0,0.0,68613.34599999999
59,6,2014,Cat E,2,302.0,276.0,434.0,65301.0,0,0.0,66541.719
60,7,2014,Cat A,1,513.0,511.0,1075.0,61990.0,66586,67851.13399999999,63167.81
61,7,2014,Cat A,2,509.0,505.0,1190.0,62890.0,66586,67851.13399999999,64084.909999999996
62,7,2014,Cat B,1,493.0,491.0,812.0,64889.0,71771,73134.64899999999,66121.89099999999
63,7,2014,Cat B,2,498.0,497.0,850.0,65001.0,77771,79248.64899999999,66236.019
64,7,2014,Cat C,1,392.0,383.0,653.0,43390.0,40765,41539.534999999996,44214.409999999996
65,7,2014,Cat C,2,391.0,391.0,779.0,52010.0,40765,41539.534999999996,52998.189999999995
66,7,2014,Cat D,1,344.0,343.0,415.0,4001.0,4163,4242.097,4077.019
67,7,2014,Cat D,2,347.0,341.0,410.0,4252.0,4163,4242.097,4332.788
68,7,2014,Cat E,1,294.0,288.0,441.0,63001.0,0,0.0,64198.01899999999
69,7,2014,Cat E,2,319.0,317.0,483.0,65002.0,0,0.0,66237.038
70,8,2014,Cat A,1,574.0,574.0,1056.0,64600.0,62610,63799.59,65827.4
71,8,2014,Cat A,2,575.0,574.0,994.0,65710.0,62610,63799.59,66958.48999999999
72,8,2014,Cat B,1,507.0,501.0,1090.0,68689.0,66834,68103.84599999999,69994.091
73,8,2014,Cat B,2,506.0,502.0,1137.0,72990.0,66834,68103.84599999999,74376.81
74,8,2014,Cat C,1,267.0,267.0,519.0,54009.0,42932,43747.708,55035.170999999995
75,8,2014,Cat C,2,257.0,254.0,427.0,52390.0,42932,43747.708,53385.409999999996
