Month,Year,Vehicle Category,Bidding Type,Quota,Successful Bids,Received Bids,Quota Premium,PQP
1,2014,Cat A,1,364,361,623,72369,76109
1,2014,Cat A,2,368,364,724,72290,76109
1,2014,Cat B,1,386,377,581,78700,82333
1,2014,Cat B,2,393,388,512,79000,82333
1,2014,Cat C,1,258,252,337,48889,58989
1,2014,Cat C,2,264,249,356,50001,58989
1,2014,Cat D,1,489,487,542,1989,1797
1,2014,Cat D,2,503,503,796,2704,1797
1,2014,Cat E,1,261,244,392,79000,0
1,2014,Cat E,2,261,259,373,78810,0
2,2014,Cat A,1,362,356,719,71564,73237
2,2014,Cat A,2,362,358,700,77201,73237
2,2014,Cat B,1,360,360,523,75300,78382
2,2014,Cat B,2,355,353,519,78604,78382
2,2014,Cat C,1,267,264,364,51002,51418
2,2014,Cat C,2,277,273,392,52890,51418
2,2014,Cat D,1,361,353,550,3051,1952
2,2014,Cat D,2,360,359,478,3501,1952
2,2014,Cat E,1,208,205,351,77003,0
2,2014,Cat E,2,193,191,321,79000,0
3,2014,Cat A,1,365,356,615,76999,73431
3,2014,Cat A,2,362,360,577,78602,73431
3,2014,Cat B,1,350,337,499,80710,76719
3,2014,Cat B,2,353,352,524,82900,76719
3,2014,Cat C,1,265,262,439,56302,50316
3,2014,Cat C,2,266,256,356,53891,50316
3,2014,Cat D,1,368,340,483,4001,2474
3,2014,Cat D,2,360,355,449,4289,2474
3,2014,Cat E,1,193,185,292,82000,0
3,2014,Cat E,2,193,192,293,84001,0
4,2014,Cat A,1,367,360,537,77400,74848
4,2014,Cat A,2,361,357,513,71335,74838
4,2014,Cat B,1,363,363,523,84504,79203
4,2014,Cat B,2,351,349,486,75010,79203
4,2014,Cat C,1,265,261,303,49503,52163
4,2014,Cat C,2,272,266,392,32890,52163
4,2014,Cat D,1,388,388,520,4489,3256
4,2014,Cat D,2,365,350,492,4502,3256
4,2014,Cat E,1,199,197,283,84100,0
4,2014,Cat E,2,192,192,310,73810,0
5,2014,Cat A,1,513,512,676,60002,75517
5,2014,Cat A,2,509,506,997,65689,75517
5,2014,Cat B,1,483,472,778,70002,79505
5,2014,Cat B,2,484,477,716,68103,79505
5,2014,Cat C,1,389,389,715,36301,49413
5,2014,Cat C,2,392,386,709,40889,49413
5,2014,Cat D,1,343,340,445,4001,3973
5,2014,Cat D,2,358,316,492,4003,3973
5,2014,Cat E,1,295,295,525,65501,0
5,2014,Cat E,2,294,285,497,67290,0
6,2014,Cat A,1,507,499,1040,63190,71672
6,2014,Cat A,2,509,506,1040,61889,71672
6,2014,Cat B,1,494,484,807,67304,76872
6,2014,Cat B,2,490,475,716,65700,76872
6,2014,Cat C,1,385,378,617,43001,44963
6,2014,Cat C,2,391,385,597,42001,44963
6,2014,Cat D,1,346,346,449,4089,4215
6,2014,Cat D,2,385,381,503,3890,4215
6,2014,Cat E,1,293,292,465,67334,0
6,2014,Cat E,2,302,276,434,65301,0
7,2014,Cat A,1,513,511,1075,61990,66586
7,2014,Cat A,2,509,505,1190,62890,66586
7,2014,Cat B,1,493,491,812,64889,71771
7,2014,Cat B,2,498,497,850,65001,77771
7,2014,Cat C,1,392,383,653,43390,40765
7,2014,Cat C,2,391,391,779,52010,40765
7,2014,Cat D,1,344,343,415,4001,4163
7,2014,Cat D,2,347,341,410,4252,4163
7,2014,Cat E,1,294,288,441,63001,0
7,2014,Cat E,2,319,317,483,65002,0
8,2014,Cat A,1,574,574,1056,64600,62610
8,2014,Cat A,2,575,574,994,65710,62610
8,2014,Cat B,1,507,501,1090,68689,66834
8,2014,Cat B,2,506,502,1137,72990,66834
8,2014,Cat C,1,267,267,519,54009,42932
8,2014,Cat C,2,257,254,427,52390,42932
8,2014,Cat D,1,316,315,360,4353,4040
8,2014,Cat D,2,322,317,361,4354,4040
